;Theta;esperanca.est;dp.est;bias;prob.cobertura
1;1,1;1,182134193;0,257061313;7,466744855;0,91
2;0,3;0,342964405;0,034412784;14,32146845;0,881666667
3;0,9;0,975031434;0,143362237;8,336825951;0,898333333
4;0,8;0,84504244;0,127631476;5,630305029;0,916666667
5;1,2;1,193639779;0,160813195;-0,530018434;0,95
6;0,5;0,510086792;0,209595791;2,017358426;0,963333333
7;-0,5;-0,49930192;0,153447161;-0,139616089;0,935
8;-0,5;-0,503478215;0,103558508;0,695642984;0,921666667
9;0,8;0,802726815;0,057017993;0,340851842;0,95
