;Theta;esperanca.est;dp.est;bias;prob.cobertura
1;1.1;1,38E+14;1,35E+14;0.250294167165065;0.708333333333333
2;0.3;0.466760441872908;0.259193074420059;0.555868139576361;0.855
3;0.9;1,39E+14;0.911204674835519;0.546789369046572;0.803333333333333
4;0.8;1,06E+14;1,03E+14;0.330819682687175;0.745
5;1.2;2,55E+14;9,36E+14;1,12E+14;0.861666666666667
6;0.5;1,46E+14;9,64E+14;1,92E+14;0.833333333333333
7;-0.5;-1,25E+14;7,17E+14;1,50E+14;0.836666666666667
8;-0.5;-0.525094878462402;0.464764308831456;0.0501897569248043;0.921666666666667
9;0.8;0.868864120867609;0.288815077073358;0.086080151084511;0.906666666666667
