;Theta;esperanca.est;dp.est;bias;prob.cobertura
1;1,1;1,23218297;0,277719209;0,120166336;0,91
2;0,3;0,332281763;0,036135127;0,107605878;0,953333333
3;0,9;0,96439782;0,142386314;0,071553134;0,936666667
4;0,8;0,867243544;0,13584288;0,084054431;0,938333333
5;1,2;1,198827721;0,169709994;-0,000976899;0,943333333
6;0,5;0,500860453;0,234587705;0,001720906;0,95
7;-0,5;-0,496513861;0,147484271;-0,006972277;0,953333333
8;-0,5;-0,502845442;0,104188388;0,005690884;0,953333333
9;0,8;0,806351616;0,057535815;0,00793952;0,95
