;Theta;esperanca.est;dp.est;bias;prob.cobertura
1;1,1;1,261076963;0,919282448;14,6433603;0,808333333
2;0,3;0,364941753;0,150347178;21,6472511;0,908333333
3;0,9;1,165786639;0,624497111;29,53184882;0,821666667
4;0,8;0,915656391;0,59731229;14,45704883;0,848333333
5;1,2;2,242708746;9,053119162;86,89239552;0,883333333
6;0,3;0,860142663;7,057203483;186,7142211;0,876666667
7;-0,5;-1,200510876;5,953639648;140,1021751;0,851666667
8;-0,5;-0,506719743;0,356447927;1,343948616;0,916666667
9;0,8;0,834016182;0,218383595;4,252022724;0,901666667
